year,country,GDP
1972,Popping,2026081.132
1972,Qsdf,45069586.38
1972,Rsdfj,44602613.18
1972,Sdgfnnx,26825311.13
1972,Tserss,75615762.73
1973,American,177058.1331
1973,Bsdif,58835936.78
1973,China,12651093.77
1973,Disco,22976131.59
1973,Ehsdf,58129618.31
1973,Forse,54086541.56
1973,Gisdg,89682236.6
1973,Hadff,67404669.17
1973,Internel,25035956.93
1973,Jisfd,64076691.34
1973,Kerval,2292981.123
1973,Laberl,44162768.11
1973,Mosico,91819795.67
1973,Nanner,30298085.97
1973,Obser,42716083.14
1973,Popping,63637841.64
1973,Qsdf,94678983.64
1973,Rsdfj,71983979.37
1973,Sdgfnnx,92436249.81
1973,Tserss,81235524.01
1974,American,78649652.39
1974,Bsdif,23404259.01
1974,China,51122695.91
1974,Disco,19450987.1
1974,Ehsdf,34507949.55
1974,Forse,66896109.95
1974,Gisdg,68940937.94
1974,Hadff,23184948.62
1974,Internel,86007542.73
1974,Jisfd,70004138.37
1974,Kerval,96613484.35
1974,Laberl,35062312.74
1974,Mosico,43742520.25
1974,Nanner,38761818.42
1974,Obser,37669050.79
1974,Popping,75515318.6
1974,Qsdf,40447323.7
1974,Rsdfj,27012310.93
1974,Sdgfnnx,9506917.828
1974,Tserss,68801197.78
1975,American,6797873.395
1975,Bsdif,9099569.866
1975,China,10954610.93
1975,Disco,75891051.62
1975,Ehsdf,84537508.52
1975,Forse,43331689.96
1975,Gisdg,29609962.92
1975,Hadff,30036504.4
1975,Internel,90194597.03
1975,Jisfd,60307901.37
1975,Kerval,57924979.91
1975,Laberl,59916188.62
1975,Mosico,23094331.9
1975,Nanner,61265448.14
1975,Obser,59640262
1975,Popping,99727084.95
1975,Qsdf,48395715.81
1975,Rsdfj,33803754.11
1975,Sdgfnnx,9791659.478
1975,Tserss,29642018.46
1976,American,27508814.55
1976,Bsdif,31722335.64
1976,China,72146151.53
1976,Disco,63266968.37
1976,Ehsdf,95077793
1976,Forse,51629970.29
1976,Gisdg,73431167.25
1976,Hadff,4144969.084
1976,Internel,91013153.34
1976,Jisfd,38713893.82
1976,Kerval,70725427.87
1976,Laberl,15622676.02
1976,Mosico,35186028.08
1976,Nanner,55758661.54
1976,Obser,55948555.44
1976,Popping,25026412.24
1976,Qsdf,7062564.578
1976,Rsdfj,85924404.67
1976,Sdgfnnx,25454492.01
1976,Tserss,45836571.27
1977,American,9200984.388
1977,Bsdif,98726587.63
1977,China,65057864.53
1977,Disco,89837280.73
1977,Ehsdf,38901525.27
1977,Forse,4668997.331
1977,Gisdg,43506641.39
1977,Hadff,16425963
1977,Internel,43242681.22
1977,Jisfd,44870404.44
1977,Kerval,85939689.79
1977,Laberl,9785175.362
1977,Mosico,34023336.72
1977,Nanner,27044482
1977,Obser,21697756.12
1977,Popping,90743769.5
1977,Qsdf,61075677.24
1977,Rsdfj,47773623.4
1977,Sdgfnnx,16057148.73
1977,Tserss,43053067.03
1978,American,80651777.84
1978,Bsdif,73350404.39
1978,China,31451646.9
1978,Disco,741083.685
1978,Ehsdf,89088416.48
1978,Forse,46314053.63
1978,Gisdg,94469446.89
1978,Hadff,36480568.79
1978,Internel,56938686.06
1978,Jisfd,59190610.18
1978,Kerval,28088137.65
1978,Laberl,38758542.99
1978,Mosico,24243355.25
1978,Nanner,43565426.22
1978,Obser,32645274.64
1978,Popping,4602490.341
1978,Qsdf,39883406.21
1978,Rsdfj,86922747.77
1978,Sdgfnnx,75011234.06
1978,Tserss,32624628.77
1979,American,43186909.31
1979,Bsdif,87748397.76
1979,China,71109268.69
1979,Disco,74821142.04
1979,Ehsdf,41088454.94
1979,Forse,6378276.213
1979,Gisdg,98610109.62
1979,Hadff,79610261.52
1979,Internel,33504961.97
1979,Jisfd,39990014.14
1979,Kerval,93077753.28
1979,Laberl,44936479.07
1979,Mosico,21498130.44
1979,Nanner,74671941.28
1979,Obser,1569997.861
1979,Popping,42456038.08
1979,Qsdf,818758.2006
1979,Rsdfj,36475028.12
1979,Sdgfnnx,40643249.35
1979,Tserss,77281549.86
1980,American,46922819.45
1980,Bsdif,29577119.49
1980,China,58874519.42
1980,Disco,91023487.53
1980,Ehsdf,92010000.11
1980,Forse,30558029.61
1980,Gisdg,29032917.21
1980,Hadff,5554302.699
1980,Internel,78489607.53
1980,Jisfd,94118282.31
1980,Kerval,25679239.36
1980,Laberl,4602749.047
1980,Mosico,59770486.77
1980,Nanner,29489946.67
1980,Obser,77106344.22
1980,Popping,34881582.38
1980,Qsdf,12563665.49
1980,Rsdfj,13987717.63
1980,Sdgfnnx,50547403.02
1980,Tserss,79190782.42
1981,American,97001077.9
1981,Bsdif,52562426.72
1981,China,59401370.36
1981,Disco,49804644.5
1981,Ehsdf,1603439.347
1981,Forse,73463409.85
1981,Gisdg,20441104.43
1981,Hadff,66245454.06
1981,Internel,69004392.48
1981,Jisfd,24037797.18
1981,Kerval,11648563.36
1981,Laberl,53379799.09
1981,Mosico,54568088.61
1981,Nanner,30986225.93
1981,Obser,21796787.56
1981,Popping,5055207.471
1981,Qsdf,1842558.889
1981,Rsdfj,5667053.525
1981,Sdgfnnx,58512114.97
1981,Tserss,79381934.68
1982,American,50472701.74
1982,Bsdif,78065656.38
1982,China,75559312.38
1982,Disco,4667092.513
1982,Ehsdf,82741799.99
1982,Forse,57510018.33
1982,Gisdg,96875172.66
1982,Hadff,49472439.78
1982,Internel,87052001.54
1982,Jisfd,61679030.03
1982,Kerval,13479530.34
1982,Laberl,69944286.74
1982,Mosico,7819932.978
1982,Nanner,4919107.11
1982,Obser,68196065.86
1982,Popping,12510131.66
1982,Qsdf,63695773.08
1982,Rsdfj,71257683.03
1982,Sdgfnnx,12076161.85
1982,Tserss,10617242.21
1983,American,31384264.94
1983,Bsdif,73269656.51
1983,China,19918.72822
1983,Disco,37196743.48
1983,Ehsdf,62733027.77
1983,Forse,46007697.84
1983,Gisdg,96650494.75
1983,Hadff,12578575.29
1983,Internel,20073048.58
1983,Jisfd,44953667.53
1983,Kerval,26808502.48
1983,Laberl,46891181.25
1983,Mosico,53563172.71
1983,Nanner,24332463
1983,Obser,98651765.12
1983,Popping,94611610.38
1983,Qsdf,8523933.214
1983,Rsdfj,84991646.15
1983,Sdgfnnx,73385268.52
1983,Tserss,14148526.52
1984,American,8819801.832
1984,Bsdif,270375.5708
1984,China,44802108.07
1984,Disco,21510774.73
1984,Ehsdf,20951141.6
1984,Forse,7340452.967
1984,Gisdg,3557409.473
1984,Hadff,60607230.69
1984,Internel,40352685.04
1984,Jisfd,55119599.46
1984,Kerval,60443525.62
1984,Laberl,58546828.72
1984,Mosico,27015766.7
1984,Nanner,24212180.21
1984,Obser,68101880.81
1984,Popping,82697884.05
1984,Qsdf,73545841.61
1984,Rsdfj,45620341.76
1984,Sdgfnnx,74245418.29
1984,Tserss,60581090.19
1985,American,67102408.94
1985,Bsdif,61624269.84
1985,China,13212776.08
1985,Disco,26764084.7
1985,Ehsdf,95766499.19
1985,Forse,28473648.42
1985,Gisdg,8284115.604
1985,Hadff,15967181.18
1985,Internel,26244912.08
1985,Jisfd,74933311.69
1985,Kerval,66232775.67
1985,Laberl,93215000.48
1985,Mosico,27009051.93
1985,Nanner,53453063.96
1985,Obser,1168761.662
1985,Popping,8832772.779
1985,Qsdf,74467656.4
1985,Rsdfj,15084131.3
1985,Sdgfnnx,69907235.72
1985,Tserss,91196687.48
1986,American,21861948.28
1986,Bsdif,90047399.46
1986,China,59665963.97
1986,Disco,90029323.06
1986,Ehsdf,24274915.37
1986,Forse,96147810.71
1986,Gisdg,5909272.283
1986,Hadff,88138958.13
1986,Internel,26722121.17
1986,Jisfd,57754466.68
1986,Kerval,57816188.79
1986,Laberl,10686201.73
1986,Mosico,4474363.472
1986,Nanner,4918320.973
1986,Obser,91997272.71
1986,Popping,10736944.14
1986,Qsdf,23398683.67
1986,Rsdfj,40622154.25
1986,Sdgfnnx,85268344.32
1986,Tserss,79914698.45
1987,American,35273213.72
1987,Bsdif,83501143.8
1987,China,30366440.75
1987,Disco,70560460.27
1987,Ehsdf,48399061.85
1987,Forse,29595194.32
1987,Gisdg,19307140.15
1987,Hadff,39488969.93
1987,Internel,3834968.694
1987,Jisfd,18945750.53
1987,Kerval,62218132.21
1987,Laberl,74844987.69
1987,Mosico,46637109.7
1987,Nanner,54854823.06
1987,Obser,15776784.15
1987,Popping,78450038.44
1987,Qsdf,52343898.37
1987,Rsdfj,80801513.68
1987,Sdgfnnx,9616448.758
1987,Tserss,378884.0502
1988,American,8464413.707
1988,Bsdif,37991731.29
1988,China,48977565.78
1988,Disco,37549032.71
1988,Ehsdf,20562732.08
1988,Forse,45265859.87
1988,Gisdg,9551497.861
1988,Hadff,59244704.98
1988,Internel,90965172.43
1988,Jisfd,67660870.93
1988,Kerval,21467936.78
1988,Laberl,2791459.309
1988,Mosico,65446102.78
1988,Nanner,87139228.97
1988,Obser,78012470.39
1988,Popping,13294048.19
1988,Qsdf,99320323.25
1988,Rsdfj,30904904.25
1988,Sdgfnnx,80812381.66
1988,Tserss,61365859.44
1989,American,81677487.31
1989,Bsdif,1861731.97
1989,China,1441997.517
1989,Disco,99275642.42
1989,Ehsdf,71765465.65
1989,Forse,57612285.99
1989,Gisdg,26571647.27
1989,Hadff,65598893.98
1989,Internel,81939276.76
1989,Jisfd,88461132.46
1989,Kerval,18430755.21
1989,Laberl,59523615.87
1989,Mosico,79815993.78
1989,Nanner,6063596
1989,Obser,59878063.15
1989,Popping,9216968.292
1989,Qsdf,14052061.03
1989,Rsdfj,96197813.57
1989,Sdgfnnx,2144539.681
1989,Tserss,28367475.51
1990,American,15797431.68
1990,Bsdif,14604358.58
1990,China,67842426.64
1990,Disco,13036054.67
1990,Ehsdf,38006147.46
1990,Forse,98029566.42
1990,Gisdg,86350196.34
1990,Hadff,26815283.87
1990,Internel,76195579.14
1990,Jisfd,51093847.44
1990,Kerval,12468377.01
1990,Laberl,68672192.02
1990,Mosico,81153575.15
1990,Nanner,92537790.77
1990,Obser,68697104.41
1990,Popping,90010717.16
1990,Qsdf,39611168.92
1990,Rsdfj,48507183.63
1990,Sdgfnnx,41729845.94
1990,Tserss,64636210.35
1991,American,10173544.98
1991,Bsdif,43770100.53
1991,China,2886284.412
1991,Disco,64784943.87
1991,Ehsdf,77633959.27
1991,Forse,24193562.13
1991,Gisdg,25051791.11
1991,Hadff,59878509.49
1991,Internel,86601248.95
1991,Jisfd,93014770.81
1991,Kerval,55902566.2
1991,Laberl,63604056.27
1991,Mosico,61350670.3
1991,Nanner,3000333.554
1991,Obser,11773959.04
1991,Popping,45441389.52
1991,Qsdf,49084011.27
1991,Rsdfj,59886429.57
1991,Sdgfnnx,31898967.14
1991,Tserss,55521785.77
1992,American,66210015.31
1992,Bsdif,84117561.85
1992,China,74231932.81
1992,Disco,38944696.27
1992,Ehsdf,28503121.97
1992,Forse,69127336.73
1992,Gisdg,21316685.99
1992,Hadff,12738879.54
1992,Internel,85612438.73
1992,Jisfd,82356392.91
1992,Kerval,32601901.35
1992,Laberl,28556561.03
1992,Mosico,74291051.73
1992,Nanner,53156013.05
1992,Obser,54858882.79
1992,Popping,63981259.61
1992,Qsdf,51831731.69
1992,Rsdfj,12266720.42
1992,Sdgfnnx,78208829.24
1992,Tserss,23059250.81
1993,American,17923650.4
1993,Bsdif,46119134.05
1993,China,76077585.75
1993,Disco,65703884.21
1993,Ehsdf,32684994.99
1993,Forse,53526875.24
1993,Gisdg,52627428.27
1993,Hadff,62278089.85
1993,Internel,45276769.51
1993,Jisfd,67869104.28
1993,Kerval,95317180.12
1993,Laberl,45087644.2
1993,Mosico,84462571.88
1993,Nanner,41513777.75
1993,Obser,73883826.74
1993,Popping,180464.2704
1993,Qsdf,60867584.13
1993,Rsdfj,56667741.9
1993,Sdgfnnx,82090288.37
1993,Tserss,43138313.97
1994,American,72133998.04
1994,Bsdif,86870032.81
1994,China,71202685.1
1994,Disco,37977928.06
1994,Ehsdf,76163403.25
1994,Forse,43996591.18
1994,Gisdg,71911217.31
1994,Hadff,80910584.73
1994,Internel,44496339.76
1994,Jisfd,42064636.61
1994,Kerval,95995503.02
1994,Laberl,1157820.707
1994,Mosico,95467483.08
1994,Nanner,65825650.59
1994,Obser,39056825.35
1994,Popping,88717068.4
1994,Qsdf,57343081.88
1994,Rsdfj,54285026.11
1994,Sdgfnnx,74827096.83
1994,Tserss,39445776.44
1995,American,78658325.99
1995,Bsdif,92711476.18
1995,China,57596652.48
1995,Disco,41912568.23
1995,Ehsdf,52116643.25
1995,Forse,35418364.25
1995,Gisdg,84568736.77
1995,Hadff,58842095.97
1995,Internel,97168545.84
1995,Jisfd,30632222.95
1995,Kerval,74563144.58
1995,Laberl,56208745.42
1995,Mosico,53178587.6
1995,Nanner,80955339.8
1995,Obser,92002753.63
1995,Popping,18108874.23
1995,Qsdf,99474913.79
1995,Rsdfj,51775764.76
1995,Sdgfnnx,19171192.68
1995,Tserss,68144258.37
1996,American,49419.95011
1996,Bsdif,47335434.04
1996,China,6232023.573
1996,Disco,63645683.96
1996,Ehsdf,20105538.77
1996,Forse,37347562.99
1996,Gisdg,89129900.09
1996,Hadff,38192713.22
1996,Internel,63295881.7
1996,Jisfd,61068438.66
1996,Kerval,32522917.73
1996,Laberl,41610586.25
1996,Mosico,28434216.17
1996,Nanner,81361254.16
1996,Obser,33234973.26
1996,Popping,21475325.69
1996,Qsdf,67205676.94
1996,Rsdfj,78904334.79
1996,Sdgfnnx,57822415.78
1996,Tserss,54784012.26
1997,American,23828382.53
1997,Bsdif,82021888.88
1997,China,39601572.53
1997,Disco,87033730.43
1997,Ehsdf,30356342.63
1997,Forse,68411140.53
1997,Gisdg,69384068.22
1997,Hadff,48254521.7
1997,Internel,4070983.822
1997,Jisfd,59874097.7
1997,Kerval,97271653.24
1997,Laberl,41773646.13
1997,Mosico,63738552.08
1997,Nanner,36232664.72
1997,Obser,1841822.487
1997,Popping,64671560.08
1997,Qsdf,70492137.89
1997,Rsdfj,41414798.08
1997,Sdgfnnx,59756866.6
1997,Tserss,46117722.71
1998,American,54049303.12
1998,Bsdif,67501744.49
1998,China,75219908.72
1998,Disco,73313529.92
1998,Ehsdf,62617927.97
1998,Forse,7368188.485
1998,Gisdg,65999355.49
1998,Hadff,41322773.44
1998,Internel,55111553.39
1998,Jisfd,62990687.69
1998,Kerval,98903612.54
1998,Laberl,88034308.1
1998,Mosico,5624007.636
1998,Nanner,45047587.2
1998,Obser,47403143.05
1998,Popping,13083517.19
1998,Qsdf,27059645.31
1998,Rsdfj,89192928.18
1998,Sdgfnnx,97435723
1998,Tserss,19729623.97
1999,American,56762003.06
1999,Bsdif,83940309.3
1999,China,65367439.42
1999,Disco,66295268.92
1999,Ehsdf,21024933.88
1999,Forse,39108833.66
1999,Gisdg,77533545.66
1999,Hadff,9432946.978
1999,Internel,81636084.9
1999,Jisfd,56985889.65
1999,Kerval,90535877.93
1999,Laberl,6336458.918
1999,Mosico,74965262.21
1999,Nanner,67018655.01
1999,Obser,13869635.81
1999,Popping,40172207.15
1999,Qsdf,16976751.3
1999,Rsdfj,29085527.52
1999,Sdgfnnx,43380545.55
1999,Tserss,85803744.07
2000,American,13858257.16
2000,Bsdif,21178511.33
2000,China,17624493.74
2000,Disco,34326666.42
2000,Ehsdf,66447794.58
2000,Forse,49175238.03
2000,Gisdg,39938597.77
2000,Hadff,35637371.92
2000,Internel,78372398.34
2000,Jisfd,51702141.44
2000,Kerval,10845805.68
2000,Laberl,5252675.644
2000,Mosico,40322126.28
2000,Nanner,95711878.26
2000,Obser,22384511.35
2000,Popping,78166260.37
2000,Qsdf,88269265.71
2000,Rsdfj,61381177.45
2000,Sdgfnnx,97161716.85
2000,Tserss,30109510.08
2001,American,42267298.18
2001,Bsdif,82417971.51
2001,China,44580384.31
2001,Disco,74361002.77
2001,Ehsdf,2168651.633
2001,Forse,97307190.35
2001,Gisdg,84239567.95
2001,Hadff,92208896.56
2001,Internel,67154781.92
2001,Jisfd,57912054.15
2001,Kerval,74103899.14
2001,Laberl,73589579.67
2001,Mosico,57662685.49
2001,Nanner,65825487.38
2001,Obser,21817871.99
2001,Popping,62517272.53
2001,Qsdf,94301407.86
2001,Rsdfj,48101549.91
2001,Sdgfnnx,3388653.177
2001,Tserss,58570378.74
2002,American,52299561.31
2002,Bsdif,63500651.69
2002,China,21345557.05
2002,Disco,85837665.94
2002,Ehsdf,28015046.76
2002,Forse,7500823.728
2002,Gisdg,63441344.41
2002,Hadff,45857469.47
2002,Internel,95329293.79
2002,Jisfd,30284892.41
2002,Kerval,74633642.86
2002,Laberl,8357452.698
2002,Mosico,74710510.14
2002,Nanner,43259183.28
2002,Obser,83136354.23
2002,Popping,48027505.39
2002,Qsdf,5035278.636
2002,Rsdfj,42278164.27
2002,Sdgfnnx,96931525.12
2002,Tserss,688909.7066
2003,American,23854861.3
2003,Bsdif,46574439.83
2003,China,12673375.63
2003,Disco,56672580.79
2003,Ehsdf,58555327.04
2003,Forse,26312714.3
2003,Gisdg,70211325.85
2003,Hadff,60378293.34
2003,Internel,26953442.28
2003,Jisfd,54048097.35
2003,Kerval,52518922.23
2003,Laberl,81883604.58
2003,Mosico,93261060.82
2003,Nanner,57485652.56
2003,Obser,40988095.08
2003,Popping,61449821.08
2003,Qsdf,76131510.77
2003,Rsdfj,95627298.93
2003,Sdgfnnx,84299364.08
2003,Tserss,26387143.8
2004,American,39641678.37
2004,Bsdif,59694075.67
2004,China,67993893.44
2004,Disco,24036889.09
2004,Ehsdf,39312165.8
2004,Forse,39915407.12
2004,Gisdg,36814872.62
2004,Hadff,61828993.01
2004,Internel,33086588.99
2004,Jisfd,91922206.87
2004,Kerval,33324917.99
2004,Laberl,5977176.089
2004,Mosico,46126762.6
2004,Nanner,48090378.33
2004,Obser,29535922.81
2004,Popping,49772245.86
2004,Qsdf,55552922.65
2004,Rsdfj,29641845.52
2004,Sdgfnnx,51813512.75
2004,Tserss,16847355.91
2005,American,1812265.976
2005,Bsdif,73163510.14
2005,China,70063662.37
2005,Disco,31923328.18
2005,Ehsdf,63750089.27
2005,Forse,64353147.75
2005,Gisdg,95466378
2005,Hadff,1904921.633
2005,Internel,11352514.24
2005,Jisfd,63598902.28
2005,Kerval,90187256.62
2005,Laberl,32892718.11
2005,Mosico,37723258.95
2005,Nanner,68071692.11
2005,Obser,31056087.63
2005,Popping,89273684.3
2005,Qsdf,96177943.37
2005,Rsdfj,21755413.83
2005,Sdgfnnx,65031812.43
2005,Tserss,12733476.59
2006,American,49632293.32
2006,Bsdif,55809661.47
2006,China,84283658.23
2006,Disco,2560492.978
2006,Ehsdf,68948038.93
2006,Forse,8165955.397
2006,Gisdg,28136762.49
2006,Hadff,40531547.03
2006,Internel,51167586.48
2006,Jisfd,68955004.25
2006,Kerval,65540788.2
2006,Laberl,61762061.13
2006,Mosico,39887661.32
2006,Nanner,43893593.39
2006,Obser,66263932.72
2006,Popping,730312.9883
2006,Qsdf,108014.1445
2006,Rsdfj,37664863.17
2006,Sdgfnnx,93324905.78
2006,Tserss,72505855.07
2007,American,13641168.72
2007,Bsdif,81101722.58
2007,China,37982898.03
2007,Disco,16571192.15
2007,Ehsdf,54396580.6
2007,Forse,4063279.784
2007,Gisdg,13363156.14
2007,Hadff,96412104.18
2007,Internel,8645699.673
2007,Jisfd,40879494.01
2007,Kerval,43372077.66
2007,Laberl,76424003.74
2007,Mosico,39568637.68
2007,Nanner,32222899.21
2007,Obser,99407861.66
2007,Popping,92872347.01
2007,Qsdf,95916171.43
2007,Rsdfj,77808310.19
2007,Sdgfnnx,20110930.77
2007,Tserss,84454559.52
2008,American,19104392.2
2008,Bsdif,50285130.93
2008,China,36628198.88
2008,Disco,42919448.41
2008,Ehsdf,34104222.52
2008,Forse,44170640.84
2008,Gisdg,21008000.54
2008,Hadff,88035348.79
2008,Internel,15456049.11
2008,Jisfd,50342856.37
2008,Kerval,6010437.553
2008,Laberl,9196359.706
2008,Mosico,54206688.1
2008,Nanner,72057146.96
2008,Obser,16328244.34
2008,Popping,46144099.18
2008,Qsdf,75831575.74
2008,Rsdfj,82520594.1
2008,Sdgfnnx,20121910.96
2008,Tserss,33042228.81
2009,American,98270918.38
2009,Bsdif,5761058.442
2009,China,59432334.74
2009,Disco,22692058.04
2009,Ehsdf,47036647
2009,Forse,71827041.9
2009,Gisdg,7171701.967
2009,Hadff,14946941.67
2009,Internel,85840394.94
2009,Jisfd,49165357.48
2009,Kerval,11808626.5
2009,Laberl,82928659.21
2009,Mosico,79939922.54
2009,Nanner,54746948.89
2009,Obser,30015533.54
2009,Popping,73681263.96
2009,Qsdf,11506785.78
2009,Rsdfj,91330570.38
2009,Sdgfnnx,52501844.79
2009,Tserss,31957977.04
2010,American,11752060.93
2010,Bsdif,4895986.921
2010,China,84431413.74
2010,Disco,18600459.04
2010,Ehsdf,55410590.79
2010,Forse,26454822.71
2010,Gisdg,16544917.44
2010,Hadff,31627204.11
2010,Internel,79479224.75
2010,Jisfd,16356112.86
2010,Kerval,65678753.14
2010,Laberl,45670528.65
2010,Mosico,48297560.02
2010,Nanner,14942495.74
2010,Obser,32762977.71
2010,Popping,30505321.4
2010,Qsdf,85182692.12
2010,Rsdfj,19352117.58
2010,Sdgfnnx,96908439.5
2010,Tserss,26211990.12
2011,American,4256791.874
2011,Bsdif,21674517.65
2011,China,10040166.26
2011,Disco,15094043.43
2011,Ehsdf,2893547.582
2011,Forse,66074184.97
2011,Gisdg,28739748.16
2011,Hadff,91539402.34
2011,Internel,94465065.82
2011,Jisfd,36351473.72
2011,Kerval,85863146.89
2011,Laberl,382273.1666
2011,Mosico,76365589.33
2011,Nanner,66660277.06
2011,Obser,25618494.78
2011,Popping,61199175.44
2011,Qsdf,44042837.27
2011,Rsdfj,55398949.82
2011,Sdgfnnx,67638623.98
2011,Tserss,61105998.64
